"RADIO_NO","twoweek","CumSum","RELO_METHO"
25,1,51000.00011,1
25,3,51000.00011,2
25,5,48000.00007,1
25,5,48000.00007,1
25,6,46000.00013,2
25,8,38000.00012,1
25,9,38000.00012,1
25,13,38000.00012,1
35,1,52000.00008,1
35,2,52000.00008,2
35,3,46000.00013,1
35,3,32000.00016,1
35,3,30000.0002,2
35,4,29000.00019,2
35,5,29000.00019,1
35,5,29000.00019,1
35,6,31000.00022,2
35,8,29000.00019,1
115,1,90283.40006,1
115,2,90283.40006,2
115,3,90283.40006,2
115,4,89254.30006,2
115,6,89254.30006,2
174,1,90283.40006,1
174,2,91298.40006,1
174,3,19000.00028,1
174,3,19000.00028,2
174,5,19000.00028,1
174,5,21000.00023,1
225,1,93404.00006,2
225,3,93404.00006,2
225,3,92345.50006,1
225,4,64414.70006,2
225,4,64414.70006,1
225,5,56000,1
225,7,28000.00025,1
225,8,28000.00025,1
225,10,28000.00025,1
225,11,28000.00025,1
225,12,28000.00025,2
225,15,28000.00025,1
225,16,28000.00025,1
225,17,28000.00025,1
225,17,28000.00025,1
225,18,28000.00025,1
225,4,64414.70006,1
225,5,56000,1
254,1,94762.90006,2
254,3,94762.90006,2
254,3,94762.90006,1
254,4,94762.90006,2
254,6,50000.00017,2
254,8,50000.00017,1
254,9,50000.00017,1
254,13,50000.00017,1
254,16,51000.00011,1
305,1,56000,2
305,1,58000.00006,2
305,1,58000.00006,2
305,1,61202.50006,1
305,1,53000.00013,2
305,3,56000,2
305,4,56000,2
305,4,56000,1
305,5,56000,1
324,1,64414.70006,2
324,3,64414.70006,2
324,4,63411.50006,2
324,4,64414.70006,1
324,5,57000.00009,1
324,6,54000.00012,1
324,8,51000.00011,1
324,10,51000.00011,1
324,11,50000.00017,1
324,12,51000.00011,2
324,15,51000.00011,1
335,1,96762.90006,1
335,2,96762.90006,1
335,2,82009.80006,2
335,3,78955.30006,1
335,3,64414.70006,1
335,9,51000.00011,1
394,1,35000.0001,2
394,3,36000.0001,2
394,4,36000.0001,2
394,5,36000.0001,1
394,5,36000.0001,1
394,6,36000.0001,2
394,8,25000.00017,1
394,9,25000.00017,1
394,13,25000.00017,1
395,1,64414.70006,2
395,3,64414.70006,2
395,4,16000.00018,1
395,5,16000.00018,1
395,6,16000.00018,1
395,8,16000.00018,1
395,10,16000.00018,1
395,11,16000.00018,1
395,14,16000.00018,1
422,1,79985.50006,1
422,2,79985.50006,1
422,3,58000.00006,2
422,4,56000,2
422,4,56000,1
422,5,56000,1
422,6,56000,1
422,8,56000,1
422,10,56000,1
422,11,56000,1
455,1,86112.20006,1
455,2,86112.20006,1
455,3,36000.0001,1
455,4,34000.00013,2
455,5,25000.00017,1
455,5,25000.00017,1
455,6,25000.00017,2
455,8,25000.00017,1
463,1,82009.80006,2
463,3,82009.80006,2
463,4,56000,2
463,4,40000.00006,1
463,5,40000.00006,1
463,5,36000.0001,2
463,6,41000.00001,1
463,8,41000.00001,1
463,10,41000.00001,1
463,11,41000.00001,1
463,14,41000.00001,1
463,16,41000.00001,1
463,17,41000.00001,1
463,17,41000.00001,1
463,18,40000.00006,1
463,19,40000.00006,1
505,1,64414.70006,2
505,3,64414.70006,2
505,4,48000.00007,2
505,4,49000.00012,1
505,5,49000.00012,1
505,6,49000.00012,1
505,8,49000.00012,1
505,10,49000.00012,1
505,11,49000.00012,1
505,12,49000.00012,2
575,1,94762.90006,1
575,2,94762.90006,1
575,3,78955.30006,2
575,4,78955.30006,2
605,1,50000.00017,2
605,1,49000.00012,2
605,3,50000.00017,2
605,4,50000.00017,2
605,4,51000.00011,1
605,5,50000.00017,1
605,5,50000.00017,2
625,1,90283.40006,1
625,2,90283.40006,1
625,3,91298.40006,2
625,3,91298.40006,1
625,4,64414.70006,2
625,4,64414.70006,1
625,4,64414.70006,1
625,5,57000.00009,1
625,6,38000.00012,1
625,8,38000.00012,1
625,10,29000.00019,1
625,11,26000.00025,1
625,12,26000.00025,2
625,15,27000.0002,1
625,16,27000.0002,1
625,17,27000.0002,1
625,17,27000.0002,1
625,18,27000.0002,1
625,19,27000.0002,1
1495,1,64414.70006,1
1495,3,64414.70006,1
1495,3,38000.00012,2
1495,4,1000,2
1495,5,1000,1
1495,5,1000,1
1495,6,1000,2
1495,8,1000,1
1495,9,1000,1
1495,13,1000,1
1495,16,1000,1
9294,1,89254.30006,1
9294,2,89254.30006,1
9294,4,37000.00006,1
9294,5,7000.000128,1
9294,5,7000.000128,2
9294,6,7000.000128,1
9294,8,6000.000173,1
9294,10,5000.000134,1
9294,11,4000.000095,1
9375,1,64414.70006,2
9375,3,64414.70006,2
9375,4,57000.00009,2
9375,5,55000.0001,1
9375,5,55000.0001,2
9935,1,1999.999997,1
9935,4,3000.000047,1
9935,5,3000.000047,1
9935,6,3000.000047,1
9935,8,3000.000047,1
9935,10,3000.000047,1
9935,11,3000.000047,1
9935,15,3000.000047,1
9935,16,3000.000047,1
9935,17,3000.000047,1
9935,17,3000.000047,1
9935,19,3000.000047,1
9995,1,91298.40006,2
9995,3,91298.40006,2
